approved-meat-establishment	company	meat-establishment-type	meat-establishment-operation	meat-establishment-outcome	local-authority	meat-establishment-audit-date	meat-establishment-audit-frequency	meat-establishment-next-audit-due-date	start-date	end-date
4140	G & G B Hewitt Ltd	3	11	1	Cheshire	2016-11-21	12	2017-11-01		
4140	G & G B Hewitt Ltd	1	11	1	Cheshire	2016-11-21	12	2017-11-01		
4152	Beesons Limited	3	11	2	Cheshire	2017-05-16	36	2020-05-01		
4152	Beesons Limited	1	11	2	Cheshire	2017-05-16	36	2020-05-01		
4156	C H Rowley Limited	3	11	1	West Midlands	2017-08-14	12	2018-08-01		
4156	C H Rowley Limited	1	11	1	West Midlands	2017-08-14	12	2018-08-01		
4168	R B Elliott & Son Ltd	3	11	2	Derbyshire	2016-06-08	18	2017-12-01		
4168	R B Elliott & Son Ltd	1	11	2	Derbyshire	2016-06-08	18	2017-12-01		
4182	Janan Meat Limited	3	11	1	West Midlands	2017-01-31	12	2018-01-01		
4182	Janan Meat Limited	1	11	1	West Midlands	2017-01-31	12	2018-01-01		
4197	N Tm And Em Baskeyfield	3	11	2	Staffordshire	2017-01-11	36	2020-01-01		
4199	Bates Wholesale Butchers	3	11	1	West Midlands	2017-02-28	12	2018-02-01		
4199	Bates Wholesale Butchers	1	11	1	West Midlands	2017-02-28	12	2018-02-01		
4225	C Brumpton Butchers Ltd	3	11	2	Nottinghamshire	2017-02-20	36	2020-02-01		
4236	Long Compton Abattoir Limited	3	11	1	Warwickshire	2017-02-28	12	2018-02-01		
4236	Long Compton Abattoir Limited	1	11	1	Warwickshire	2017-02-28	12	2018-02-01		
4242	Peter Coates (Alrewas) Limited	3	11	1	Staffordshire	2017-07-24	12	2018-07-01		
4256	H.P. Westwood Limited	3	11	1	Staffordshire	2017-05-05	12	2018-05-01		
4256	H.P. Westwood Limited	1	11	1	Staffordshire	2017-05-05	12	2018-05-01		
4261	Edge And Son	3	11	1	Merseyside	2017-06-27	12	2018-06-01		
4261	Edge And Son	1	11	1	Merseyside	2017-06-27	12	2018-06-01		
4269	J & B Fitton Ltd	3	11	2	Greater Manchester	2017-05-17	36	2020-05-01		
4269	J & B Fitton Ltd	1	11	2	Greater Manchester	2017-05-17	36	2020-05-01		
4276	A J Green & Sons	3	11	1	Staffordshire	2017-02-22	12	2018-02-01		
4276	A J Green & Sons	1	11	1	Staffordshire	2017-02-22	12	2018-02-01		
4286	Lawn Farm Meats	3	11	1	Staffordshire	2016-09-14	12	2017-09-01		
4286	Lawn Farm Meats	1	11	1	Staffordshire	2016-09-14	12	2017-09-01		
4294	E & T Jackson & Sons	3	11	1	Cheshire	2017-04-24	12	2018-04-01		
4294	E & T Jackson & Sons	1	11	1	Cheshire	2017-04-24	12	2018-04-01		
4295	W James	3	11	2	Staffordshire	2016-12-12	36	2019-12-01		
4298	A Johnson & Son Ltd	3	11	2	Staffordshire	2017-03-27	36	2020-03-01		
4303	James Law Limited	3	11	2	Lancashire	2017-03-21	18	2018-09-01		
4303	James Law Limited	1	11	2	Lancashire	2017-03-21	18	2018-09-01		
4319	Robin Maycock Butchers	3	11	2	Derbyshire	2017-01-23	36	2020-01-01		
4322	J W Mettrick & Son Ltd	3	11	2	Derbyshire	2016-06-29	18	2017-12-01		
4322	J W Mettrick & Son Ltd	1	11	2	Derbyshire	2016-06-29	18	2017-12-01		
4326	C.S. Morphet And Sons Limited	3	11	1	Merseyside	2017-05-08	12	2018-05-01		
4326	C.S. Morphet And Sons Limited	1	11	1	Merseyside	2017-05-08	12	2018-05-01		
4327	Joseph Morris Butchers Ltd	3	11	2	Leicestershire	2016-04-20	36	2019-04-01		
4330	Wh & Tr Newton T/A Newton Brothers	3	11	2	Cheshire	2017-02-23	36	2020-02-01		
4331	W Nixon And Sons Limited	3	11	1	Cheshire	2017-05-25	12	2018-05-01		
4331	W Nixon And Sons Limited	1	11	1	Cheshire	2017-05-25	12	2018-05-01		
4333	University Of Nottingham	3	11	2	Leicestershire	2017-02-14	36	2020-02-01		
4333	University Of Nottingham	1	11	2	Leicestershire	2017-02-14	36	2020-02-01		
4349	Perrys Of Eccleshall Limited	3	11	1	Staffordshire	2017-08-14	12	2018-08-01		
4349	Perrys Of Eccleshall Limited	1	11	1	Staffordshire	2017-08-14	12	2018-08-01		
4357	F Redfern	3	11	2	Derbyshire	2016-04-12	18	2017-10-01		
4357	F Redfern	1	11	2	Derbyshire	2016-04-12	18	2017-10-01		
4367	T G Sargeant And Sons	3	11	2	Staffordshire	2017-06-02	18	2018-12-01		
4367	T G Sargeant And Sons	1	11	2	Staffordshire	2017-06-02	18	2018-12-01		
4373	Staffordshire Meat Packers Ltd	3	11	3	Staffordshire	2017-07-31	3	2017-10-01		
4373	Staffordshire Meat Packers Ltd	1	11	3	Staffordshire	2017-07-31	3	2017-10-01		
4379	Higginshaw Abattoir Limited	3	11	1	Greater Manchester	2017-05-10	12	2018-05-01		
4379	Higginshaw Abattoir Limited	1	11	1	Greater Manchester	2017-05-10	12	2018-05-01		
4380	A E Taylor & Son	3	11	2	Leicestershire	2016-09-01	36	2019-09-01		
4381	William Taylor & Son (Pig Salesmen) Limited	3	11	1	Lancashire	2017-01-17	12	2018-01-01		
4381	William Taylor & Son (Pig Salesmen) Limited	1	11	1	Lancashire	2017-01-17	12	2018-01-01		
4392	Robert G Tuckey Ltd	3	11	1	West Midlands	2017-06-21	12	2018-06-01		
4392	Robert G Tuckey Ltd	1	11	1	West Midlands	2017-06-21	12	2018-06-01		
4406	Aj Wild	3	11	1	Derbyshire	2016-12-13	12	2017-12-01		
4451	Euro Quality Lambs Limited	3	11	1	Shropshire	2016-11-10	12	2017-11-01		
4451	Euro Quality Lambs Limited	1	11	1	Shropshire	2016-11-10	12	2017-11-01		
4464	Bickerton Bros Limited	3	11	2	Staffordshire	2016-04-05	18	2017-10-01		
4464	Bickerton Bros Limited	1	11	2	Staffordshire	2016-04-05	18	2017-10-01		
4471	Woodhead Bros	3	11	1	Lancashire	2017-03-20	12	2018-03-01		
4471	Woodhead Bros	1	11	1	Lancashire	2017-03-20	12	2018-03-01		
4484	Marcus Stevens	3	11	2	Leicestershire	2016-08-15	36	2019-08-01		
4486	Dunbia Sawley	3	11	2	Lancashire	2016-04-20	36	2019-04-01		
4486	Dunbia Sawley	1	11	2	Lancashire	2016-04-20	36	2019-04-01		
4496	Birmingham Halal Abattoir Limited	3	11	1	West Midlands	2017-02-23	12	2018-02-01		
4496	Birmingham Halal Abattoir Limited	1	11	1	West Midlands	2017-02-23	12	2018-02-01		
4649	M. Najib & Sons Limited	3	11	2	Derbyshire	2016-10-26	18	2018-04-01		
4649	M. Najib & Sons Limited	1	11	2	Derbyshire	2016-10-26	18	2018-04-01		
4686	S Colliers Butchers Limited	3	11	2	Derbyshire	2017-08-15	18	2019-02-01		
4707	Wootton Organic Wholesale Ltd.	3	11	2	Staffordshire	2016-06-14	18	2017-12-01		
4707	Wootton Organic Wholesale Ltd.	1	11	2	Staffordshire	2016-06-14	18	2017-12-01		
4812	Deer 'n Dexter	3	11	2	Cumbria	2017-01-30	36	2020-01-01		
4812	Deer 'n Dexter	1	11	2	Cumbria	2017-01-30	36	2020-01-01		
4847	Halal Services Company Ltd	3	11	2	Lancashire	2016-12-07	18	2018-06-01		
5088	A & G Barber  Ltd	3	11	1	Essex	2016-10-27	12	2017-10-01		
5088	A & G Barber  Ltd	1	11	1	Essex	2016-10-27	12	2017-10-01		
5090	Elmkirk Limited	3	11	1	Essex	2017-08-07	12	2018-08-01		
5090	Elmkirk Limited	1	11	1	Essex	2017-08-07	12	2018-08-01		
5091	Dalehead  Foods (A Division Of Tulip)	3	11	1	Lincolnshire	2016-11-25	12	2017-11-01		
5091	Dalehead  Foods (A Division Of Tulip)	1	11	1	Lincolnshire	2016-11-25	12	2017-11-01		
5094	P J Stevens Family Butcher	3	11	2	Lincolnshire	2016-10-13	36	2019-10-01		
5106	Dawn Cardington	3	11	1	Bedfordshire	2016-09-22	12	2017-09-01		
5106	Dawn Cardington	1	11	1	Bedfordshire	2016-09-22	12	2017-09-01		
5116	Dovecote Park (Skellingthorpe)	3	11	2	Lincolnshire	2017-05-30	18	2018-11-01		
5116	Dovecote Park (Skellingthorpe)	1	11	2	Lincolnshire	2017-05-30	18	2018-11-01		
5120	N V Gagen & Son	3	11	2	Cambridgeshire	2016-09-12	18	2018-03-01		
5120	N V Gagen & Son	1	11	2	Cambridgeshire	2016-09-12	18	2018-03-01		
5130	Evans & Sons	3	11	2	Bedfordshire	2017-01-30	36	2020-01-01		
5144	C A Leech & Sons	3	11	2	Hertfordshire	2017-02-07	36	2020-02-01		
5154	H J Hellett & Sons	3	11	2	Cambridgeshire	2017-05-22	18	2018-11-01		
5177	Lincolnshire Meat Company Ltd	3	11	2	Lincolnshire	2017-02-21	18	2018-08-01		
5177	Lincolnshire Meat Company Ltd	1	11	2	Lincolnshire	2017-02-21	18	2018-08-01		
5184	A Wright  & Son	3	11	1	Lincolnshire	2017-04-25	12	2018-04-01		
5184	A Wright  & Son	1	11	1	Lincolnshire	2017-04-25	12	2018-04-01		
5203	H Dawson & Sons	3	11	2	Lincolnshire	2016-09-19	36	2019-09-01		
5204	L Brown & Son (Wholesale Butchers) Limited	3	11	1	Lincolnshire	2017-05-23	12	2018-05-01		
5207	H G Blake (Costessey) Limited	3	11	2	Norfolk	2017-04-25	36	2020-04-01		
5207	H G Blake (Costessey) Limited	1	11	2	Norfolk	2017-04-25	36	2020-04-01		
5213	Cranswick Country Foods Plc	3	11	1	Norfolk	2016-09-19	12	2017-09-01		
5213	Cranswick Country Foods Plc	1	11	1	Norfolk	2016-09-19	12	2017-09-01		
5215	J E Howard Butchers And Howard's Abattoir	3	11	1	Norfolk	2017-03-29	12	2018-03-01		
5215	J E Howard Butchers And Howard's Abattoir	1	11	1	Norfolk	2017-03-29	12	2018-03-01		
5217	J W Sargeant	3	11	2	Norfolk	2017-01-23	36	2020-01-01		
5218	Arthur Howell	3	11	2	Norfolk	2017-07-10	18	2019-01-01		
5218	Arthur Howell	1	11	2	Norfolk	2017-07-10	18	2019-01-01		
5241	Ruse & Son Limited	3	11	2	Suffolk	2016-07-11	18	2018-01-01		
5269	C Humphreys & Sons	3	11	1	Essex	2017-03-27	12	2018-03-01		
5269	C Humphreys & Sons	1	11	1	Essex	2017-03-27	12	2018-03-01		
5280	Fowler Bros. (Latchingdon) Ltd	3	11	1	Essex	2016-10-13	12	2017-10-01		
5280	Fowler Bros. (Latchingdon) Ltd	1	11	1	Essex	2016-10-13	12	2017-10-01		
5319	Romford Halal Meats Ltd	3	11	1	Essex	2017-08-02	12	2018-08-01		
5319	Romford Halal Meats Ltd	1	11	1	Essex	2017-08-02	12	2018-08-01		
5392	C J Byford & Son	3	11	2	Essex	2017-07-31	36	2020-07-01		
5392	C J Byford & Son	1	11	2	Essex	2017-07-31	36	2020-07-01		
5513	Woodhead Brothers	3	11	2	Lincolnshire	2017-05-23	36	2020-05-01		
5513	Woodhead Brothers	1	11	2	Lincolnshire	2017-05-23	36	2020-05-01		
5519	C & K Meats Ltd	3	11	1	Suffolk	2017-03-31	12	2018-03-01		
5519	C & K Meats Ltd	1	11	1	Suffolk	2017-03-31	12	2018-03-01		
6060	P.C.Turner - Wholesale Butcher	3	11	2	Hampshire	2017-01-26	18	2018-07-01		
6060	P.C.Turner - Wholesale Butcher	1	11	2	Hampshire	2017-01-26	18	2018-07-01		
6067	Tottingworth Farm Limited	3	11	1	East Sussex	2017-01-18	12	2018-01-01		
6067	Tottingworth Farm Limited	1	11	1	East Sussex	2017-01-18	12	2018-01-01		
6107	T. Allman Butchers Limited	3	11	1	Kent	2016-11-28	12	2017-11-01		
6116	Forge Farm Meats Ltd	3	11	3	Kent	2017-07-10	3	2017-10-01		
6116	Forge Farm Meats Ltd	1	11	3	Kent	2017-07-10	3	2017-10-01		
6128	Ken Ballard Ltd	3	11	1	Kent	2017-08-03	12	2018-08-01		
6130	S W Doughty	3	11	1	Kent	2016-12-05	12	2017-12-01		
6207	Mutchmeats Limited	3	11	3	Oxfordshire	2017-07-17	3	2017-10-01		
6207	Mutchmeats Limited	1	11	3	Oxfordshire	2017-07-17	3	2017-10-01		
6238	Abp Guildford	3	11	1	Surrey	2016-09-26	12	2017-09-01		
6238	Abp Guildford	1	11	1	Surrey	2016-09-26	12	2017-09-01		
6326	J R Farm Meats Ltd	3	11	2	Kent	2017-04-25	18	2018-10-01		
6326	J R Farm Meats Ltd	1	11	2	Kent	2017-04-25	18	2018-10-01		
6342	Stm (Sussex) Limited	3	11	1	West Sussex	2017-05-22	12	2018-05-01		
6342	Stm (Sussex) Limited	1	11	1	West Sussex	2017-05-22	12	2018-05-01		
6359	Laverstoke Park Farm Ltd	3	11	2	Hampshire	2016-11-30	18	2018-05-01		
6359	Laverstoke Park Farm Ltd	1	11	2	Hampshire	2016-11-30	18	2018-05-01		
8025	Manor Farm Deer	3	11	1	North Somerset	2017-04-19	12	2018-04-01		
8037	University Of Bristol	3	11	1	North Somerset	2017-06-19	12	2018-06-01		
8037	University Of Bristol	1	11	1	North Somerset	2017-06-19	12	2018-06-01		
8046	Dawn Treburley	3	11	2	Cornwall	2017-02-20	18	2018-08-01		
8046	Dawn Treburley	1	11	2	Cornwall	2017-02-20	18	2018-08-01		
8061	Tulip Fresh Meats (Westerleigh)	3	11	2	Avon	2016-10-14	36	2019-10-01		
8061	Tulip Fresh Meats (Westerleigh)	1	11	2	Avon	2016-10-14	36	2019-10-01		
8070	P J Hayman & Sons	3	11	1	Devon	2016-10-26	12	2017-10-01		
8070	P J Hayman & Sons	1	11	1	Devon	2016-10-26	12	2017-10-01		
8071	Dawn West Devon	3	11	2	Devon	2016-09-12	18	2018-03-01		
8072	P J King & Son	3	11	1	Gloucestershire	2017-04-19	12	2018-04-01		
8073	St Merryn Foods Bodmin	3	11	2	Cornwall	2016-03-21	18	2017-09-01		
8073	St Merryn Foods Bodmin	1	11	2	Cornwall	2016-03-21	18	2017-09-01		
8101	East Hill Pride	3	11	1	Devon	2017-03-13	12	2018-03-01		
8101	East Hill Pride	1	11	1	Devon	2017-03-13	12	2018-03-01		
8113	H R Jasper & Son Ltd	3	11	1	Cornwall	2017-03-20	12	2018-03-01		
8115	R J Trevarthen Wholesale Butchers	3	11	1	Cornwall	2016-10-20	12	2017-10-01		
8115	R J Trevarthen Wholesale Butchers	1	11	1	Cornwall	2016-10-20	12	2017-10-01		
8117	Vivian Olds Ltd	3	11	1	Cornwall	2017-02-06	12	2018-02-01		
8119	Alec Jarrett Ltd	3	11	1	Avon	2017-06-15	12	2018-06-01		
8119	Alec Jarrett Ltd	1	11	1	Avon	2017-06-15	12	2018-06-01		
8122	Nanteague Abattoir	3	11	1	Cornwall	2017-01-12	12	2018-01-01		
8122	Nanteague Abattoir	1	11	1	Cornwall	2017-01-12	12	2018-01-01		
8145	J. Broomhall Limited	3	11	1	Gloucestershire	2016-09-26	12	2017-09-01		
8145	J. Broomhall Limited	1	11	1	Gloucestershire	2016-09-26	12	2017-09-01		
8149	Bakers Of Nailsea Limited	3	11	1	Somerset	2016-12-15	12	2017-12-01		
8149	Bakers Of Nailsea Limited	1	11	1	Somerset	2016-12-15	12	2017-12-01		
8165	Universal Traders Gloucester Limited	3	11	1	Gloucestershire	2017-06-30	12	2018-06-01		
8165	Universal Traders Gloucester Limited	1	11	1	Gloucestershire	2017-06-30	12	2018-06-01		
8184	A C Hopkins (Taunton) Ltd	3	11	1	Somerset	2017-03-22	12	2018-03-01		
8189	C M Howard And Sons	3	11	1	Somerset	2017-05-23	12	2018-05-01		
8191	C Snell Wholesale	3	11	1	Somerset	2017-03-13	12	2018-03-01		
8191	C Snell Wholesale	1	11	1	Somerset	2017-03-13	12	2018-03-01		
8193	Strap Orchard Abattoir	3	11	1	Somerset	2016-10-26	12	2017-10-01		
8201	F. Drury & Sons Limited	3	11	1	Wiltshire	2017-01-27	12	2018-01-01		
8201	F. Drury & Sons Limited	1	11	1	Wiltshire	2017-01-27	12	2018-01-01		
8207	Abp Sturminster	3	11	2	Dorset	2016-09-13	36	2019-09-01		
8216	Abp Yetminster	3	11	1	Dorset	2017-02-27	12	2018-02-01		
8216	Abp Yetminster	1	11	1	Dorset	2017-02-27	12	2018-02-01		
8217	S J Norman  & Sons	3	11	3	Dorset	2017-08-29	3	2017-11-01		
8217	S J Norman  & Sons	1	11	3	Dorset	2017-08-29	3	2017-11-01		
8229	W S Clarke & Sons	3	11	2	Dorset	2016-04-11	36	2019-04-01		
8231	Stillmans (Somerset) Ltd	3	11	1	Somerset	2017-05-22	12	2018-05-01		
8241	T & H Lobb Limited	3	11	1	Cornwall	2016-09-19	12	2017-09-01		
8241	T & H Lobb Limited	1	11	1	Cornwall	2016-09-19	12	2017-09-01		
8249	H F Stiles  & Son Limited	3	11	1	Wiltshire	2017-02-15	12	2018-02-01		
8249	H F Stiles  & Son Limited	1	11	1	Wiltshire	2017-02-15	12	2018-02-01		
8250	W J Pearce  And Sons	3	11	2	Avon	2017-05-31	18	2018-11-01		
8285	Abp Langport	3	11	1	Somerset	2017-04-20	12	2018-04-01		
8285	Abp Langport	1	11	1	Somerset	2017-04-20	12	2018-04-01		
8301	Gages Farm Ltd	3	11	1	Devon	2017-08-24	12	2018-08-01		
8301	Gages Farm Ltd	1	11	1	Devon	2017-08-24	12	2018-08-01		
8308	J V Richards (Rietfontein) Ltd	3	11	1	Cornwall	2017-08-24	12	2018-08-01		
8308	J V Richards (Rietfontein) Ltd	1	11	1	Cornwall	2017-08-24	12	2018-08-01		
8342	Cornish Farmhouse Bacon Company	3	11	1	Devon	2016-10-17	12	2017-10-01		
8342	Cornish Farmhouse Bacon Company	1	11	1	Devon	2016-10-17	12	2017-10-01		
8354	C & S Meats Ltd	3	11	1	Dorset	2017-08-29	12	2018-08-01		
8354	C & S Meats Ltd	1	11	1	Dorset	2017-08-29	12	2018-08-01		
8357	J And J Farmers Abattoir	3	11	1	Devon	2017-01-26	12	2018-01-01		
8369	Tideford Abattoir Limited	3	11	2	Cornwall	2016-03-08	36	2019-03-01		
